,Analysis,Attribute,parent_class,parent_class_prob
6360,SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW =175,0,0.99950945
6361,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW=>200,0,0.9995005
6362,SDS_PAGE,SDS-PAGE  (NR) minor band 7 MW =38,0,0.99951196
6363,SDS_PAGE,SDS-PAGE  (NR) minor band 6 MW =145,0,0.9995066
6364,SDS_PAGE,SDS-PAGE  (R) minor band 5 MW =15,0,0.99950373
6365,SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW =180,0,0.99951553
6366,SDS_PAGE,SDS-PAGE  (R) minor band 2 MW =45,0,0.99951017
6367,SDS_PAGE,SDS-PAGE  (R) minor band 6 MW =12,0,0.99950576
6368,SDS_PAGE,SDS PAGE (Reduced) Purity of Minor Band 7,0,0.99953616
6369,SDS_PAGE,SDS-PAGE  (NR) minor band 8 MW =12,0,0.9995092
6370,SDS_PAGE,SDS-PAGE  (R) minor band 1 MW =99,0,0.9995043
6371,SDS_PAGE,SDS-PAGE (NR) minor band 6 MW=38,0,0.999511
6372,SDS_PAGE,SDS-PAGE (Non-Reduced) Purity  of Minor Band 6,0,0.99953556
6373,SDS_PAGE,SDS-PAGE (NR) minor band 5 MW=136,0,0.9995111
6374,SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=168,0,0.9995122
6375,SDS_PAGE,SDS-PAGE (R) minor band 5 MW=15,0,0.99950373
6376,SDS_PAGE,SDS-PAGE (R) minor band 3 MW=42,0,0.99950945
6377,SDS_PAGE,SDS-PAGE (R) minor band 1 MW=98,0,0.9995041
6378,SDS_PAGE,SDS-PAGE (Non-Reduced) Purity of  Minor Band 2,0,0.9995345
6379,SDS_PAGE,SDS-PAGE (Reduced) Purity of All Minor Band 4,0,0.9995358
6380,SDS_PAGE,SDS-PAGE (Non-Reduced) Purity of  Minor Band 4,0,0.9995357
6381,SDS_PAGE,SDS-PAGE (R) minor band 4 MW=37,0,0.9995109
6382,SDS_PAGE,SDS-PAGE (Reduced)Purity of All Minor Band 1,0,0.9995346
6383,SDS_PAGE,SDS-PAGE (Reduced) Purity of All Minor Band 5,0,0.9995358
6384,SDS_PAGE,SDS-PAGE (Non-Reduced) Purity of  Minor Band 5,0,0.99953556
6385,SDS_PAGE,SDS-PAGE (R) minor band 2 MW=46,0,0.99950933
6386,SDS_PAGE,SDS-PAGE (Non-Reduced) Purity of  Minor Band 1,0,0.99953437
6387,SDS_PAGE,SDS-PAGE (Reduced) Purity of All Minor Band 3,0,0.9995346
6388,SDS_PAGE,SDS-PAGE (Reduced) Purity of All Minor Band 2,0,0.9995347
6389,CE_SDS_2,CE-SDS (Non-Reduced) Migration Time of Minor Peak 1 >=LOQ,0,0.9995389
6390,CE_SDS_2,CE-SDS (Non-Reduced) Migration Time of Minor Peak 2 >=LOQ,0,0.99953914
6391,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW=169,0,0.99951303
6392,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW=179,0,0.99951315
6393,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW =28,0,0.9995158
6394,PH,[Individual pH],5,0.9980774
6395,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak 2>= LOQ,0,0.9995372
6396,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak 1>= LOQ,0,0.99953735
6397,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 4>= LOQ,0,0.9995364
6398,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 3>= LOQ,0,0.9995365
6399,CE_SDS_2,CE-SDS (Non-Reduced) Sum of LMW >= LOQ,0,0.9995371
6400,CE_SDS_3,CE-SDS (Reduced) Total HMW,0,0.99952877
6401,CE_SDS_3,CE-SDS (Reduced) Purity,0,0.99953234
6402,CE_SDS_3,CE-SDS (Reduced) Total LMW,0,0.9995303
6403,CE_SDS_2,CE-SDS (reduced) Unknown Minor LMW Peak >=QL 3,0,0.9995369
6404,PROTEIN_CONCENTRATION_NOCALC_2,Protein Concentration (A280) Relatlimab ,6,0.9952583
6405,BIO_PROTEIN_CONCENTRATION,UV A280,6,0.99513227
6406,CE_SDS,CE-SDS (Non-Reduced) Minor peak 3 >= LOQ,0,0.99953806
6407,CE_SDS_2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 2,0,0.9995154
6408,CE_SDS_2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 5,0,0.9995136
6409,CE_SDS_2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 4,0,0.9995141
6410,CE_SDS_2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 1,0,0.9995154
6411,CE_SDS_2,CE-SDSÂ (Reduced)Â Unknown Minor Peak >= LOQ 3,0,0.9995147
6412,CE_SDS,CE-SDSÂ (Non-Reduced)Â Unknown Minor Peak >= LOQ 2,0,0.9995222
6413,CE_SDS,CE-SDSÂ (Non-Reduced)Â Unknown Minor Peak >= LOQ 3,0,0.999522
6414,CE_SDS,CE-SDSÂ (Non-Reduced)Â Unknown Minor Peak >= LOQ 1,0,0.99952245
6415,SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW =132,0,0.9995121
6416,CE_SDS,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak < LOQ 5,0,0.9995364
6417,CE_SDS_2,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak < LOQ 3,0,0.99953353
6418,CE_SDS_2,"CE-SDS (Reduced) Heavy, NGHC and Light Chain Combined",0,0.99952614
6419,SDS_PAGE,SDS PAGE (Non-Reduced) Purity of Major Band,0,0.99953437
6420,CE_SDS,CE-SDS (NR) LC Peak ,0,0.999527
6421,CE_SDS_2,CE-SDS (R) HC,0,0.9995166
6422,CE_SDS_2,CE-SDS (R) NGHC,0,0.9995128
6423,CE_SDS_2,CE-SDS (R) LC,0,0.9995233
6424,SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=176,0,0.99951565
6425,SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=138,0,0.9995121
6426,SDS_PAGE,NuPAGE Reduced Non-main band MW 113 kDa,0,0.999416
6427,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 7,0,0.9995352
6428,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 2,0,0.9995358
6429,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 8,0,0.9995351
6430,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 10,0,0.99953485
6431,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 6,0,0.9995353
6432,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 4,0,0.9995357
6433,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 5,0,0.9995353
6434,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 3,0,0.9995352
6435,CE_SDS_2,CE-SDS (Non-reduced)RRT of Unknown Minor peak >= LOQ 9,0,0.99953485
6436,SDS_PAGE,SDS-PAGE  (R) minor band 2 MW = 167,0,0.999508
6437,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter(microscopy) 5.00-10.00 micrometers,3,0.9917203
6438,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak >= QL 5,0,0.9995346
6439,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 4,0,0.9995371
6440,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 3,0,0.999537
6441,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 5,0,0.9995363
6442,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 7,0,0.999537
6443,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 6,0,0.999537
6444,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 9,0,0.9995365
6445,CE_SDS_2,CE-SDS (Reduced) Unknown minor peak >= LOQ 8,0,0.9995359
6446,CE_SDS,CE-SDS (Non-reduced) Unknown Minor Peak >= LOQ 3,0,0.9995365
6447,CE_SDS,CE-SDS (Non-reduced) Unknown Minor Peak >= LOQ 6,0,0.9995365
6448,CE_SDS,CE-SDS (Non-reduced) Unknown Minor Peak >= LOQ 5,0,0.9995365
6449,CE_SDS,CE-SDS (Non-reduced) Unknown Minor Peak >= LOQ 4,0,0.9995369
6450,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter (MFI) >= 5-10 micrometers,3,0.99227273
6451,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter (MFI) >= 2-5 micrometers,3,0.99227226
6452,PARTICULATE_MATTER_MICROSCOPY,Particulate Matter (MFI) >= 10-25 micrometers,3,0.99228466
6453,PROTEIN_CONCENTRATION_NO_CALC,Protein Concentration (A280) Relatlimab,6,0.9952566
6454,PROTEIN_CONCENTRATION_NO_CALC,Protein Concentration (A280) Nivolumab,6,0.99526054
6455,PROTEIN_CONCENTRATION_NO_CALC,A280 Concentration(Protein Concentration),6,0.9950676
6456,PROTEIN_CONCENTRATION,Protein Concentration (A280) Relatlimab,6,0.99518245
6457,PROTEIN_CONCENTRATION_NOCALC_2,RP-HPLC Concentration,6,0.9034104
6458,SDS_PAGE,SDS-PAGE Additional Bands >or = to 2.0 % (Reduced),0,0.99949837
6459,SDS_PAGE_2,SDS-PAGE Additional Bands >or = to 2.0 % (Non-Reduced),0,0.9995043
6460,CE_SDS,CE-SDS (Reduced)Relative  Migration Time of Minor Peaks,0,0.9995321
6461,RP_HPLC,RP-UPLC (Ratio),2,0.9994357
6462,SDS_PAGE,SDS-PAGE (Non-Reduced) Molecular Weight Minor Band 3,0,0.9995061
6463,BIO_ICIEF,iCIEF Basic Group Nivolumab (% of cumulative area),1,0.99959224
6464,BIO_ICIEF,iCIEF Acidic Group Nivolumab (% of cumulative area),1,0.9995988
6465,PARTICULATE_MATTER_MICRO_2,Particulate Matter >= 10-25 micrometers,3,0.9922072
6466,PARTICULATE_MATTER_MICRO_2,Particulate Matter >= 2-5 micrometers,3,0.99221635
6467,CE_SDS_3,CGE (Reduced) RRT of Unknown Minor Peak 5 >= QL,0,0.99951327
6468,CE_SDS_4,CGE (NR) RRT of Unknown Minor Peak 7 >= QL,0,0.9994654
6469,PARTICULATE_MATTER,Particulate Matter (HIAC)>=2 micrometers,3,0.99218106
6470,PARTICULATE_MATTER,Particulate Matter (HIAC)>=5 micrometers,3,0.99216604
6471,PARTICULATE_MATTER,Particulate Matter (HIAC)>=3 micrometers,3,0.99218106
6472,PARTICULATE_MATTER,Particulate Matter (HIAC)>=10 micrometers,3,0.99216324
6473,RP_HPLC,Nivolumab protein concentration,2,0.9960598
6474,RP_HPLC,Anti-LAG3 protein concentration,2,0.9959045
6475,CE_SDS,CE-SDS (Reduced) Number of Minor Peaks 1>=LOQ,0,0.9995322
6476,CE_SDS,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak >= LOQ 4,0,0.9995345
6477,CE_SDS_2,CE-SDS (R) RRT of Unknown Minor Peak >= LOQ 3,0,0.9995278
6478,CE_SDS_2,CE-SDS (R) RRT of Unknown Minor Peak >= LOQ 2,0,0.99952877
6479,CE_SDS_2,CE-SDS (R) RRT of Unknown Minor Peak >= LOQ 5,0,0.9995266
6480,CE_SDS_2,CE-SDS (R) RRT of Unknown Minor Peak >= LOQ 4,0,0.99952793
6481,CE_SDS_2,CE-SDS (R) RRT of Unknown Minor Peak >= LOQ 1,0,0.9995283
6482,SDS_PAGE,Nu-Page Reduced Non-main band MW 86 kD,0,0.9994018
6483,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW =180,0,0.999514
6484,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW =170,0,0.9995116
6485,BIOLOGICAL_ASSAY,Potency  (Cell based assay),4,0.99815565
6486,CE_SDS,CE-SDS (Reduced) Minor Peak4,0,0.9995322
6487,CE_SDS,CE-SDS (Reduced) Minor Peak5,0,0.9995322
6488,CE_SDS_2,CE-SDS (Non-reduced) %HHL Purity,0,0.999532
6489,ICIEF,Basic Group iCIEF,1,0.99956185
6490,ICIEF,Acidic Group iCIEF,1,0.9995664
6491,ICIEF,Main Peak iCIEF,1,0.99959856
6492,SDS_PAGE,Nu-Page Reduced Non-main band MW 78 kD,0,0.99940753
6493,CE_SDS_2,CE-SDS (Non-reduced) Minor Peak,0,0.9995364
6494,CE_SDS_2,CE-SDS (Non-reduced) Sum of Minor Peaks>=LOQ,0,0.9995326
6495,CE_SDS,CE-SDS (Non-Reduced) Minor Peak 1(>LOQ),0,0.9995338
6496,CE_SDS,CE-SDS (Non-Reduced) Minor Peak 3 (>LOQ),0,0.99953294
6497,SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 148,0,0.9995159
6498,SDS_PAGE,SDS-PAGE (Non-Reduced) Purity of Major Band Relative to Ref,0,0.9995338
6499,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 187,0,0.99951637
6500,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak RRT 4 >=LOQ,0,0.9995377
6501,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak RRT 5 >=LOQ,0,0.9995378
6502,SDS_PAGE,SDS PAGE (Non Reduced) Molecular Weight of Minor Band 1,0,0.9995322
6503,CE_SDS,CE SDS (Non-Reduced) Major Peaks,0,0.9995315
6504,BIO_SE-HPLC,SEC-HPLC LMW,2,0.9994522
6505,BIO_SE-HPLC,SEC-HPLC Main Peak,2,0.9994287
6506,BIO_SE-HPLC,SEC-HPLC HMW,2,0.9994529
6507,CE_SDS_2,CE SDS (Reduced) Major Peaks (HC+LC),0,0.9995327
6508,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 168,0,0.99951196
6509,SDS_PAGE,Nu-Page Reduced Molecular Weight Non-Main Band 3,0,0.9991949
6510,SDS_PAGE,Nu-Page Reduced Molecular Weight Non-Main Band 1,0,0.99918574
6511,SDS_PAGE,Nu-Page Reduced Molecular Weight Non-Main Band 2,0,0.99919826
6512,SDS_PAGE,SDS-PAGE (Reduced)_1 [Results] Purity Non-main bands <BSA,0,0.99952626
6513,SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 169,0,0.99951506
6514,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=DL 8,0,0.9994923
6515,CE_SDS,CGE (non-reduced) Unknown Minor Peak >= DL 10,0,0.9995121
6516,CE_SDS,CGE (non-reduced) Unknown Minor Peak >= DL 12,0,0.99951446
6517,CE_SDS,CGE (non-reduced) Unknown Minor Peak >= DL 11,0,0.9995148
6518,CE_SDS,CGE (non-reduced) Unknown Minor Peak >= DL 9,0,0.99951434
6519,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 4 >=LOQ,0,0.9995364
6520,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak 5 >=LOQ,0,0.99953675
6521,SDS_PAGE,SDS PAGE (Non-Reduced) Molecular Weight  Minor Band 1,0,0.9995086
6522,CE_SDS,CE-SDS (Non-Reduced) Minor peak 2 >=LOQ,0,0.99953806
6523,CE_SDS_2,CGE (Reduced) Unknown Minor Peak >= QL 9,0,0.99949145
6524,ELISA_5,ELISA (Result),4,0.9979686
6525,RP_UPLC,Protein ratio (nivolumab/Ipilimumab),2,0.99928975
6526,CE_SDS_2,CE-SDS (Reduced) Number of Minor peaks >= LOQ,0,0.99952877
6527,CE_SDS,CE-SDS (Non-reduced) Number of Minor peaks >= LOQ,0,0.99953425
6528,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak < LOQ 4,0,0.9995352
6529,SDS_PAGE,Nu-Page Reduced Area of Non-Main Band 1,0,0.99947876
6530,SDS_PAGE,Nu-Page Reduced Area of Non-Main Band 2,0,0.99948174
6531,SDS_PAGE,Nu-Page Reduced Area of Non-Main Band 3,0,0.9994825
6532,ICIEF,iCIEF (Acidic Peaks Cumulative Area)  Nivolumab,1,0.99962485
6533,ICIEF,iCIEF (Basic Peaks Cumulative Area)  Nivolumab,1,0.9996221
6534,ICIEF,pI of the Main Peak(Ipilimumab),1,0.9995765
6535,BIO_CE-SDS_R,CE-SDS (R) Quantitation Limit,0,0.99949837
6536,BIO_CE-SDS_NR,CE-SDS (NR) Quantitation Limit,0,0.99950385
6537,SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 165,0,0.9995117
6538,CE_SDS,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 2,0,0.9995327
6539,CE_SDS,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 4,0,0.99953306
6540,CE_SDS,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 1,0,0.99953246
6541,CE_SDS,CE-SDS (Reduced) Rel. rentention time of minor peak >= LOQ 3,0,0.9995327
6542,CE_SDS_2,CE-SDS (Non-reduced) Rel. rent. time of minor peak >= LOQ 1,0,0.9995338
6543,CE_SDS_2,CE-SDS (Non-reduced) Rel. rent. time of minor peak >= LOQ 2,0,0.999534
6544,SDS_PAGE,SDS-PAGE  (NR) minor band 2 MW = 168,0,0.9995121
6545,CE_SDS_2,CE-SDS (reduced) Unknown Minor HMW Peak >=QL 4,0,0.9995369
6546,SDS_PAGE_2,half antibody,0,0.99903417
6547,SDS_PAGE,SDS PAGE (Reduced)_2 Reduced Molecular Weight Non-Main Band,0,0.9995086
6548,SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 36,0,0.9995116
6549,SDS_PAGE,SDS-PAGE  (R) minor band 2 MW = 15,0,0.9995072
6550,PROTEIN_CONCENTRATION_NO_CALC,Identity (Protein Concentration (A280)),6,0.9952449
6551,POTENCY_PERCENT_OF_INITIAL,Potency (HPLC),4,0.9974335
6552,POTENCY_PERCENT_OF_INITIAL,Average Initial Potency,4,0.9973103
6553,POTENCY_PERCENT_OF_INITIAL,Initial Potency (HPLC),4,0.99728143
6554,POTENCY_PERCENT_OF_INITIAL,Potency (Percent of Initial),4,0.99734026
6555,BIO_PROTEIN_CONCENTRATION,Protein Concentration ,6,0.9951338
6556,ELISA_2,Host Cell Protein ELISA,4,0.9962829
6557,PROTEIN_CONCENTRATION_NO_CALC,Protein Concentration A280,6,0.99522734
6558,CE_SDS_2,CGE (reduced) Sum of minor peaks>QL,0,0.9994874
6559,CE_SDS_2,CGE (reduced) Purity LMW1,0,0.99950683
6560,CE_SDS_2,CGE (reduced) Purity LMW2,0,0.9995004
6561,SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=133,0,0.99951327
6562,BIO_ICIEF,iCIEF (Basic Peaks Cumulative Area),1,0.9996213
6563,BIO_ICIEF,iCIEF (Acidic Peaks Cumulative Area) ,1,0.9996239
6564,CE_SDS,CE-SDS (Reduced) minor peak >=LOQ 5,0,0.99953985
6565,CE_SDS,CE-SDS (Reduced) minor peak >=LOQ 2,0,0.9995401
6566,CE_SDS,CE-SDS (Reduced) minor peak >=LOQ 3,0,0.99953985
6567,CE_SDS_2,CE-SDS (Non-Reduced) Sum of all minor peaks>=LOQ,0,0.99953294
6568,CE_SDS_2,CE-SDS (Non-reduced) minor peak >=LOQ 1,0,0.99954
6569,CE_SDS_2,CE-SDS (Non-reduced) minor peak >=LOQ 4,0,0.99954
6570,CE_SDS_2,CE-SDS (Non-reduced) minor peak >=LOQ 3,0,0.99953985
6571,CE_SDS_2,CE-SDS (Non-reduced) minor peak >=LOQ 2,0,0.9995401
6572,SDS_PAGE,((SDS-PAGE (R) minor band 1 MW=45),0,0.99947757
6573,SDS_PAGE,((SDS-PAGE (NR) minor band 4 MW=37),0,0.99948776
6574,SDS_PAGE,((SDS-PAGE (R) minor band 3 MW=32),0,0.99947387
6575,SDS_PAGE,SDS-PAGE (R) minor band 3 MW=32,0,0.9995047
6576,SDS_PAGE,((SDS-PAGE (NR) minor band 1 MW=175),0,0.99948287
6577,SDS_PAGE,((SDS-PAGE (NR) minor band 3 MW=139),0,0.9994854
6578,SDS_PAGE,((SDS-PAGE (R) minor band 2 MW=35),0,0.99947757
6579,SDS_PAGE,((SDS-PAGE (R) minor band 4 MW=18),0,0.99948335
6580,SDS_PAGE,((SDS-PAGE (NR) minor band 2 MW=172),0,0.9994822
6581,SDS_PAGE,SDS-PAGE (NR) minor band 3 MW=139,0,0.9995129
6582,SDS_PAGE,SDS-PAGE (NR) minor band 4 MW=37,0,0.99951446
6583,ISOELECTRIC_FOCUSING,IEF Minor Bands,1,0.99943405
6584,BIO_PROTEIN_CONCENTRATION,Concentration (A280),6,0.99513704
6585,PARTICULATE_MATTER,Particulate Matter (HIAC) Particles with diameter >= 2um,3,0.9919853
6586,PARTICULATE_MATTER,Particulate Matter (HIAC) Particles with diameter >= 5um,3,0.99195343
6587,HPLC,Methionine Sulfoximine,0,0.48715514
6588,CE_SDS,CE-SDS (Non-reduced)Relative Migration time of minor peaks,0,0.9995359
6589,SDS_PAGE,SDS-PAGE (NR) minor band 5 MW=133,0,0.9995104
6590,SDS_PAGE,SDS-PAGE (NR) minor band 6 MW=120,0,0.9995091
6591,SDS_PAGE,SDS-PAGE (R) minor band 2 MW=17,0,0.99950886
6592,PROTEIN_CONCENTRATION_NO_CALC,Identity (Protein Concentration) (A280),6,0.9952312
6593,PROTEIN_CONCENTRATION_NOCALC_2,Identity: Protein Concentration (A280),6,0.9952533
6594,CE_SDS,[CE-SDS(Reduced) unknown imp RRT 1.08],0,0.9995403
6595,CE_SDS,CE-CGE (Non-Reduced) Unknown Minor Peak >= QL 4,0,0.999511
6596,ISOELECTRIC_FOCUSING,IEF Major Band,1,0.9995183
6597,ISOELECTRIC_FOCUSING,IEF Minor Band,1,0.99947685
6598,BIO_PROTEIN_CONCENTRATION,Protein Concentration (A280 UV),6,0.99523467
6599,BIO_PROTEIN_CONCENTRATION,Identity (Protein Concentration),6,0.9951727
6600,BIO_PROTEIN_CONCENTRATION,Protein Content (A280),6,0.99520075
6601,CE_SDS,CE-SDS (Non-Reduced) Sum of A(lgG)and A(NG-IgG,0,0.999526
6602,ICIEF,iCIEF [basic group cumulative %A],1,0.9995753
6603,ICIEF,iCIEF [acidic group cumulative %A],1,0.99957293
6604,CE_SDS_2,CGE (Reduced) RRT of Unknown Minor Peak >=QL 6,0,0.9995086
6605,CE_SDS_2,CGE (Reduced) RRT of Unknown Minor Peak >=QL 7,0,0.99950826
6606,ELISA_BINDING,Potency (ELISA) CTLA-4-NF,4,0.9982697
6607,SDS_PAGE,SDS PAGE (Non-Red) Molecular Weight of Minor Band 1,0,0.999514
6608,CE_SDS,CE-SDS (Non-Reduced) RRT of Unknown Minor Peak < LOQ 4,0,0.999532
6609,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 3 RRT >=LOQ,0,0.99953663
6610,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 5 RRT >=LOQ,0,0.99953616
6611,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak 4 RRT >=LOQ,0,0.9995364
6612,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 1>=LOQ,0,0.9995346
6613,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 2>=LOQ,0,0.9995345
6614,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 4>=LOQ,0,0.99953437
6615,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 6>=LOQ,0,0.999534
6616,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 7>=LOQ,0,0.99953437
6617,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 5>=LOQ,0,0.99953425
6618,CE_SDS_2,CE-SDS (Reduced) RRT of Unknown Minor Peak 3>=LOQ,0,0.99953437
6619,CE_SDS,Minor Peak at 1.99,0,0.99945706
6620,POTENCY_1,Potency (cytotoxicity),4,0.9975726
6621,ICIEF,iCIEF (Main Peak pI),1,0.9996039
6622,PH,inidividual pH,5,0.9980667
6623,CE_SDS,CE-SDS (Non-reduced) Detection  Limit,0,0.99953306
6624,CE_SDS_2,CE-SDS (Reduced)  Detection  Limit,0,0.9995347
6625,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 15,0,0.9994766
6626,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 16,0,0.9994721
6627,SDS_PAGE,Reduced SDS-PAGE Molecular Weight Minor Band 17,0,0.9994747
6628,CE_SDS,CE-CGE (Non-Reduced) Sum of all minor peaks >= QL,0,0.9994728
6629,CE_SDS_2,CE-CGE (Reduced) Sum of all minor peaks >= QL,0,0.99941397
6630,PARTICULATE_MATTER_MICRO_2,Particulate Matter (Microscopy) >= 10 micrometers,3,0.99223256
6631,PARTICULATE_MATTER_MICRO_2,Particulate Matter (Microscopy) >= 25 micrometers,3,0.99223435
6632,PARTICULATE_MATTER_MICRO_2,Particulate Matter (Microscopy) >= 5 and < 10 micrometers,3,0.99215955
6633,SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW =168,0,0.9995122
6634,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ1,0,0.9995378
6635,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ3,0,0.9995378
6636,CE_SDS_2,CE-SDS (Reduced) Unknown Minor Peak >=LOQ2,0,0.9995382
6637,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak >=LOQ1,0,0.99953663
6638,CE_SDS,CE-SDS (Non-Reduced) Unknown Minor Peak >=LOQ2,0,0.9995371
6639,RP_UPLC,Total % Other Peaks >= LOQ,2,0.999081
6640,LC_MS,Total  Impurities,0,0.8499063
6641,SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 29,0,0.99951136
6642,PARTICULATE_MATTER_2,Particles with diameter >= 3 microns,3,0.99193645
6643,PARTICULATE_MATTER_2,Particles with diameter >= 5 microns,3,0.9919178
6644,CE_SDS,CE-SDS (Reduced)Unknown Minor peak >= LOQ 8,0,0.9995364
6645,CE_SDS,CE-SDS (Reduced)Unknown Minor peak >= LOQ 9,0,0.99953675
6646,CE_SDS,CE-SDS (Reduced)Unknown Minor peak >= LOQ 7,0,0.999537
6647,SDS_PAGE,Molecular Weight Minor Band 1,0,0.9991628
6648,CE_SDS_2,CGE (Non-Reduced) Unknown Minor Peak >= QL 3,0,0.99950945
6649,CE_SDS_3,CGE (Reduced) Unknown Minor Peak 5 >= QL,0,0.9995048
6650,CE_SDS_3,CGE (Reduced) Unknown Minor Peak 6 >= QL,0,0.9995053
6651,CE_SDS_4,CGE (NR) Unknown Minor Peak 7 >= QL,0,0.99939656
6652,CE_SDS,CE-SDS (Non-Reduced) Minor Peak >= LOQ 7,0,0.9995394
6653,ELISA,Residual Host Cell Protein,4,0.98961174
6654,SDS_PAGE_2,[SDS-PAGE Additional Bands > 2% (Non-Reduced),0,0.9995222
6655,PROTEIN_CONCENTRATION_NOCALC_2,Protein Concentration,6,0.9952011
6656,SDS_PAGE,Additional Bands (Reduced) [Result],0,0.99949896
6657,HPLC,Acetic Acid (Average),1,0.83179736
6658,BIO_CE-SDS_NR,CE-SDS (Non-Reduced) minor peak 1 >=LOQ,0,0.99954563
6659,BIO_CE-SDS_NR,CE-SDS (Non-Reduced) minor peak 2 >=LOQ,0,0.9995461
6660,CE_SDS,CE-SDS (Non-reduced) RRT of Unknown Minor peak >= LOQ 1,0,0.99953413
6661,CE_SDS,CE-SDS (Non-reduced) RRT of Unknown Minor peak >= LOQ 3,0,0.9995339
6662,CE_SDS,CE-SDS (Non-reduced) RRT of Unknown Minor peak >= LOQ 2,0,0.99953425
