Analysis,Attribute,parent_class,parent_class_prob,child_class,child_class_prob,predicted_class
SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW =161,0,0.9995915,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (NR) minor band 1 MW=141,0,0.99959,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (NR) minor band 1 MW=131,0,0.99959165,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 144,0,0.99959344,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,Band Intensity of Major Band,0,0.9994949,4,0.9825152,sds-page (non-reduced) purity
SDS_PAGE,MW of Major Band Relative to Ref. Std,0,0.9995735,4,0.99900347,sds-page (non-reduced) purity
SDS_PAGE,MW of Light Chain Relative to Ref. Std,0,0.99952734,4,0.52456,sds-page (non-reduced) purity
SDS_PAGE,MW of Heavy Chain Relative to Ref.Std,0,0.9995389,4,0.5115599,sds-page (non-reduced) purity
SDS_PAGE,Sum Intensity of Heavy and Light Chains,0,0.99955696,5,0.9918807,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 8 MW = 9,0,0.9995932,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 136,0,0.9995914,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 7 MW = 36,0,0.99959344,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 6 MW = 86,0,0.999595,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 180,0,0.99958867,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 6 MW = 15,0,0.999595,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 1 MW = 97,0,0.99959177,4,0.6073275,sds-page (non-reduced) purity
CE_SDS_2,CE-SDS (R) Relative rentention time of minor peak >=LOQ 1,0,0.99958724,3,0.9641719,ce-sds (reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 139,0,0.99958867,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 171,0,0.9995907,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 9 MW = 12,0,0.99959606,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 5 MW = 34,0,0.999595,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 8 MW = 14,0,0.99959666,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 7 MW = 18,0,0.99959534,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 8 MW = 12,0,0.9995931,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 6 MW = 24,0,0.9995956,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 7 MW = 37,0,0.99959046,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 6 MW = 89,0,0.9995962,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 162,0,0.9995883,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 168,0,0.99959475,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 138,0,0.99958926,4,0.9997539,sds-page (non-reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Unknown Minor LMW Peak >= QL 8,0,0.99960524,1,0.99999726,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Non-Reduced) Unknown Minor LMW Peak >= QL 7,0,0.99960524,1,0.99999726,ce-sds (non-reduced) hhl
SE_HPLC_4,SE-HPLC LMW (Area) Peak 3,2,0.99950624,3,0.999694,se-hplc lmw
CE_SDS,CGE (Non-Reduced) sum of all minor peaks >= QL,0,0.99958664,2,0.47548053,ce-sds (non-reduced) purity
CE_SDS_2,CGE (Reduced) sum of all minor peaks >= QL,0,0.99957997,3,0.9997292,ce-sds (reduced) purity
CE_SDS_2,CE-CGE (Reduced) Unknown Minor Peak >= QL 2,0,0.999585,1,0.95802057,ce-sds (non-reduced) hhl
CE_SDS_2,CE-CGE (Reduced) Unknown Minor Peak >= QL 3,0,0.9995834,1,0.95802057,ce-sds (non-reduced) hhl
CE_SDS,"CE-SDS (Non-Reduced) Sum of A(lgG), and A(NG-IgG",0,0.9995987,2,0.9999989,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak4,0,0.99960476,2,0.7637337,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak6,0,0.99960464,2,0.8738589,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced) Relative Migration Time of Minor Peak5,0,0.99960476,2,0.86040366,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-reduced) Relative Migration Time of Minor Peak2,0,0.9996068,2,0.9937655,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS 7 (result),0,0.9995869,2,0.7110563,ce-sds (non-reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_1 (Result)(Nu-Page Reduced Area oft Non-M,0,0.99959713,4,0.99999964,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_3 (Result) (Nu-Page Reduced Area of Non-M,0,0.99959654,4,0.9999999,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_1 (Result) (Nu-Page Reduced Area of Non-M,0,0.99959606,4,0.9999999,sds-page (non-reduced) purity
PROTEIN_CONCENTRATION_NO_CALC,Protein Concentration,6,0.9978503,1,1.0,protein concentration (a280)
PROTEIN_CONCENTRATION_NO_CALC,Label Protein Concentration,6,0.9978181,1,1.0,protein concentration (a280)
CE_SDS,CE-SDS (Reduced)Relative Migration Time of Minor Peak 4,0,0.99960285,1,0.44640148,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Reduced)Relative Migration Time of Minor Peak 2,0,0.99960285,1,0.44640148,ce-sds (non-reduced) hhl
CE_SDS_2,CE-SDS (Non-reduced) Relative MigrationTime of Minor Peak 1,0,0.99960667,2,0.9727413,ce-sds (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Molecular Weight Of Minor Band,0,0.9996008,4,0.9999137,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Molecular Weight All Minor bands,0,0.9996,4,0.99977154,sds-page (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Number of Minor Peaks 2>=LOQ,0,0.9995977,2,0.99999917,ce-sds (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Purity,0,0.99959975,4,0.99907887,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Reduced) Purity Heavy & Light Chain,0,0.99959904,5,0.9999325,sds-page (reduced) purity
BIOLOGICAL_ASSAY,Cell-based Bioassay (Potency Relative to Reference Material),4,0.99928135,1,1.0,potency by cell-based bioassay
CE_SDS_2,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak < LOQ 5,0,0.9995993,2,0.9999875,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) RRT for Unknown Minor Peak < LOQ 4,0,0.9996001,2,0.9999875,ce-sds (non-reduced) purity
PARTICULATE_MATTER_3,Particulate Matter >= 10-25 micrometers/1,3,0.9984036,1,0.5410138,particulate-matter >= 10-um
PARTICULATE_MATTER_3,Particulate Matter >=2-5 micrometers,3,0.9984053,1,0.5410138,particulate-matter >= 10-um
PARTICULATE_MATTER_3,Particulate Matter >=25 micrometers/2,3,0.99840975,1,0.5410138,particulate-matter >= 10-um
PARTICULATE_MATTER_3,Particulate Matter >=5-10 micrometers,3,0.9984041,1,0.5410138,particulate-matter >= 10-um
PARTICULATE_MATTER_MICROSCOPY,Particulate Matter: 5-10 micrometer,3,0.9983713,2,0.5119164,particulate-matter >= 25-um
SDS_PAGE,SDS-PAGE (Reduced) Molecular Weight of Minor Band 5,0,0.9996007,5,0.74097216,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE (Reduced) Molecular Weight of  Minor Band 2,0,0.9996012,5,0.74097216,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Molecular Weight of  Minor Band 4,0,0.9996008,4,0.9999542,sds-page (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) sum of all minor peaks >= LOQ,0,0.9995999,2,0.99999845,ce-sds (non-reduced) purity
BIO_SE-HPLC,Size Exclusion UPLC (SE-UPLC) HMW,2,0.99950314,5,0.99896264,se-uplc hmw
BIO_SE-HPLC,Size Exclusion UPLC (SE-UPLC) LMW,2,0.9994986,6,0.9996276,se-uplc lmw
CE_SDS,CE-SDS (Reduced) -(%Purity),0,0.99959654,3,0.83008456,ce-sds (reduced) purity
CE_SDS,CE-SDS (Non-Reduced) -(% Purity),0,0.9995981,2,0.9996489,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced) Minor Peak 2  (>LOQ),0,0.99960464,3,0.7140792,ce-sds (reduced) purity
RP_UPLC,RP-UPLC Total % Other Peaks >= LOQ,2,0.9994665,1,0.9835535,rp-hplc purity
ICIEF,pI values,1,0.99949384,5,0.57450646,icief basic peaks
CE_SDS,CE-SDS (Non-Reduced) Minor Peak4 (>LOQ),0,0.99960667,2,0.9987771,ce-sds (non-reduced) purity
CE_SDS,[CE-SDS(Non-Reduced) unknown imp RRT 1.97,0,0.99960417,2,0.9998091,ce-sds (non-reduced) purity
CE_SDS,[CE-SDS(Non-Reduced) unknown imp RRT 1.98],0,0.99960405,2,0.9998091,ce-sds (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 8 MW= 27,0,0.9995882,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 9 MW= 24,0,0.9995908,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 3 MW= 172,0,0.99958843,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 6 MW= 81,0,0.9995882,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 5 MW= 127,0,0.9995902,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 1 MW= >200,0,0.9995732,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 10 MW= 15,0,0.9995881,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 4 MW= 161,0,0.9995902,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 2 MW= 174,0,0.9995939,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE_2,SDS PAGE [Non-Reduced] minor band 7 MW= 46,0,0.9995944,4,0.999979,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE [Reduced] minor band 2 MW= 92,0,0.9995888,4,0.90617377,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE [Reduced] minor band 4 MW= 33,0,0.9995844,4,0.90617377,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE [Reduced] minor band 1 MW= 141,0,0.99958855,4,0.90617377,sds-page (non-reduced) purity
SDS_PAGE,SDS PAGE [Reduced] minor band 3 MW= 41,0,0.99958414,4,0.90617377,sds-page (non-reduced) purity
HPLC,N-Linked Oligosaccharaide Profiling Sum of Area(G0F+G1F+G2F),2,0.92881835,1,0.8516784,rp-hplc purity
BIO_ICIEF,iCIEF Main Peak Area{NIVO},1,0.9997321,6,0.9999826,icief main peak
BIO_ICIEF,iCIEF Basic Peaks Cumulative Area{NIVO},1,0.9997341,5,0.99921894,icief basic peaks
BIO_ICIEF,iCIEF Main Peak Area {ALAG3},1,0.9997291,6,0.9999864,icief main peak
BIO_ICIEF,iCIEF Acidic Peaks Cumulative Area {ALAG3},1,0.9997315,4,0.9989188,icief acidic peaks
BIO_ICIEF,iCIEF Basic Peaks Cumulative Area{ALAG3},1,0.99973184,5,0.99934036,icief basic peaks
HPLC,Aniline (HPLC),2,0.99277824,4,0.9056336,se-hplc monomer
CE_SDS,CE-SDS (Non-Reduced)Sum of all rel.area for Minor Peaks>=LOQ,0,0.99959713,2,0.9999989,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) Minor Peak >=LOQ 2,0,0.99960154,2,0.9888282,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) Minor Peak >=LOQ 1,0,0.99960166,2,0.9888282,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced)% Purity,0,0.9995993,3,0.83008456,ce-sds (reduced) purity
CE_SDS_2,CE-SDS(R) Sum rel.area for Minor Peaks >= LOQ (excl. NGHC),0,0.9995753,3,0.75053686,ce-sds (reduced) purity
BIO_ICIEF,iCIEFAcidic Group (Nivo),1,0.99971205,5,0.555043,icief basic peaks
RP_UPLC,RP-UPLC Purity - Total % Other Peaks >= LOQ,2,0.99946445,1,0.9994184,rp-hplc purity
SE_HPLC,HMW Retention Time Species 2,2,0.99949825,2,0.99507785,se-hplc hmw
SE_HPLC,% HMW Species 2,2,0.9995028,2,0.910758,se-hplc hmw
SE_HPLC,Average % HMW,2,0.99950075,2,0.8937709,se-hplc hmw
SE_HPLC,Average % HMW Species 2,2,0.9994966,2,0.91709024,se-hplc hmw
SE_HPLC,HMW RT Species 2,2,0.999498,2,0.547578,se-hplc hmw
CE_SDS,CGE (Non-Reduced) HL 2,0,0.9996051,2,0.5113096,ce-sds (non-reduced) purity
CE_SDS,CGE (Non-Reduced) HL 1,0,0.99960464,2,0.5113096,ce-sds (non-reduced) purity
RP_HPLC,Percentage of Ipilimumab,2,0.9994301,1,0.99999964,rp-hplc purity
RP_HPLC,Protein ratio (Ipilimumab/nivolumab),2,0.99931335,1,1.0,rp-hplc purity
RP_HPLC,Percentage of Nivolumab,2,0.99944645,1,0.99999976,rp-hplc purity
CE_SDS_2,CE-SDS (Non-reduced) Minor Peaks 5,0,0.99960154,2,0.7836599,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-reduced) Minor Peaks 1,0,0.99960154,2,0.7836599,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-reduced) Minor Peaks 2,0,0.99960023,2,0.7836599,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS  (Non-reduced) LC,0,0.9996032,2,0.69920933,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-reduced) Minor Peaks 3,0,0.99960154,2,0.7836599,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Non-reduced) Minor Peaks 4,0,0.99960154,2,0.7836599,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS  (Non-reduced) HHL,0,0.99959713,1,0.99995613,ce-sds (non-reduced) hhl
CE_SDS_2,CE-SDS (NR) Sum of Minor Peaks,0,0.9995983,2,0.99994946,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Reduced) Minor Peaks 6,0,0.9995945,1,0.57019657,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS  (Reduced) Limit of Quantitation,0,0.9996043,2,0.95792353,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (R) Sum of Minor Peaks,0,0.99959797,3,0.6892237,ce-sds (reduced) purity
CE_SDS,CE-SDS (Reduced) Minor Peaks 5,0,0.99959356,1,0.57019657,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS  (Reduced) NGHC,0,0.9996,3,0.605684,ce-sds (reduced) purity
CE_SDS,CE-SDS (Reduced) Minor Peaks 3,0,0.9995938,1,0.57019657,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Reduced) Minor Peaks 1,0,0.9995938,1,0.57019657,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS  (Reduced) HC,0,0.99959606,3,0.96932125,ce-sds (reduced) purity
CE_SDS,CE-SDS  (Reduced) LC,0,0.9995962,3,0.82409936,ce-sds (reduced) purity
CE_SDS,CE-SDS (Reduced) Minor Peaks 4,0,0.99959356,1,0.57019657,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Reduced) Minor Peaks 2,0,0.9995937,1,0.57019657,ce-sds (non-reduced) hhl
SE_HPLC,Average HMW RT Species 2,2,0.9994912,2,0.55175525,se-hplc hmw
CE_SDS,CE-SDS (Reduced)Relative Migration Time of  Minor Peak 6,0,0.99960274,1,0.44640148,ce-sds (non-reduced) hhl
PARTICULATE_MATTER,Particles >= 2 Microns (Concentrate) [Particulate Matter (HI,3,0.99838805,1,0.63850373,particulate-matter >= 10-um
PARTICULATE_MATTER,Particles >= 3 Microns (Concentrate) [Particulate Matter (HI,3,0.9983845,1,0.63850373,particulate-matter >= 10-um
PARTICULATE_MATTER,Particles >= 5 Microns (Concentrate) [Particulate Matter (HI,3,0.9983847,1,0.63850373,particulate-matter >= 10-um
SDS_PAGE,SDS-PAGE  (NR) minor band 6 MW = 36,0,0.99959356,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 4 MW = 171,0,0.99959236,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 5 MW = 140,0,0.9995896,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (R) minor band 5 MW = 14,0,0.99959654,4,0.6073275,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 179,0,0.9995894,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,Red. SDS-PAGE based on sum of heavy & light chain band Int.,0,0.9995598,5,0.99977046,sds-page (reduced) purity
SDS_PAGE_2,Non Reduced SDS-PAGE based on intensity of major band,0,0.99958247,4,0.99997866,sds-page (non-reduced) purity
PARTICULATE_MATTER,USP Particulate Matter >= 10 um,3,0.99837685,2,0.94286484,particulate-matter >= 25-um
PARTICULATE_MATTER,USP Particulate Matter >= 25 um,3,0.99837923,2,0.94286484,particulate-matter >= 25-um
CE_SDS,CE-SDS (Reduced) Minor Peaks NLT LOQ,0,0.99960417,3,0.92285115,ce-sds (reduced) purity
CE_SDS_2,CE-SDS (Non-Reduced) Minor Peaks NLT LOQ,0,0.99960834,2,0.99838936,ce-sds (non-reduced) purity
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >= DL 10,0,0.9995401,1,0.87191284,ce-sds (non-reduced) hhl
ICIEF,iCIEF Main Peaks Cumulative Area BMS-986016,1,0.9997249,6,0.9818087,icief main peak
ICIEF,iCIEF Main Peaks Cumulative Area BMS-936558,1,0.9997249,6,0.9818087,icief main peak
SDS_PAGE,Intensity of Major Band,0,0.99953234,4,0.9649311,sds-page (non-reduced) purity
SDS_PAGE,Sum of Intensity of Heavy and Light Chains,0,0.9995357,5,0.95639396,sds-page (reduced) purity
SDS_PAGE,MW of  Light Chain relative to Ref Std,0,0.9995241,5,0.5122388,sds-page (reduced) purity
SDS_PAGE,MW of Major Band Relative to Ref Std,0,0.9995715,4,0.99900347,sds-page (non-reduced) purity
SDS_PAGE,MW of Heavy Chain Relative to Ref Std,0,0.99954116,4,0.5115599,sds-page (non-reduced) purity
SDS_PAGE,MW of Heavy Chain Relative to Ref. Std,0,0.9995389,4,0.5115599,sds-page (non-reduced) purity
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=QL 7,0,0.99956435,1,0.91742355,ce-sds (non-reduced) hhl
CE_SDS_2,CGE (Reduced) Unknown Minor Peak >=QL 6,0,0.9995616,1,0.91742355,ce-sds (non-reduced) hhl
BIO_PROTEIN_CONCENTRATION,Protein Concentration (A280),6,0.99785906,1,1.0,protein concentration (a280)
PARTICULATE_MATTER,Particulates >= 10 micrometers,3,0.9983742,1,0.6869825,particulate-matter >= 10-um
PARTICULATE_MATTER,Particulates >= 25 micrometers,3,0.99837327,1,0.6869825,particulate-matter >= 10-um
PROTEIN_CONCENTRATION_NO_CALC,Protein Concentration: A280,6,0.9978725,1,1.0,protein concentration (a280)
PH,pH (USP <791> EP: 2.2.3),5,0.9976618,1,1.0,ph
PH,Individual pH (USP <791> EP: 2.2.3),5,0.9976476,1,1.0,ph
CE_SDS,CE-SDS (Non-reduced) RRT of minor peak >=LOQ 6,0,0.99960417,2,0.9999995,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced) RRT of minor peak >=LOQ 7,0,0.9995989,2,0.9175978,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced) RRT of minor peak >=LOQ 6,0,0.9995987,2,0.9175978,ce-sds (non-reduced) purity
BIOLOGICAL_ASSAY,Potency Cell-based Assay,4,0.99927276,1,0.9999999,potency by cell-based bioassay
CE_SDS,CE-SDS (Non-reduced) minor peak >=LOQ 5,0,0.9996001,2,0.9993913,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-reduced) minor peak >=LOQ 6,0,0.99960154,2,0.9993913,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced) minor peak >=LOQ 7,0,0.9995976,3,0.7915592,ce-sds (reduced) purity
CE_SDS_2,CE-SDS (Reduced) minor peak >=LOQ 6,0,0.9995974,3,0.7915592,ce-sds (reduced) purity
PH,pH (22 to 28 deg C),5,0.997686,1,1.0,ph
CE_SDS,CE-SDS (R) Relative rentention time of minor peak >=LOQ 3,0,0.9995938,3,0.9641719,ce-sds (reduced) purity
CE_SDS,CE-SDS (R) Relative rentention time of minor peak >=LOQ 2,0,0.9995951,3,0.9641719,ce-sds (reduced) purity
CE_SDS,CE-SDS (R) Relative rentention time of minor peak >=LOQ 1,0,0.9995956,3,0.9641719,ce-sds (reduced) purity
CE_SDS,CE-SDS (R) Relative rentention time of minor peak >=LOQ 5,0,0.9995944,3,0.9641719,ce-sds (reduced) purity
CE_SDS,CE-SDS (R) Relative rentention time of minor peak >=LOQ 4,0,0.9995956,3,0.9641719,ce-sds (reduced) purity
CE_SDS_2,CE-SDS (NR) Relative rentention time of minor peak>=LOQ 2,0,0.99958163,2,0.99999213,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (R) Relative rentention time of minor peak >=LOQ 4,0,0.9995863,3,0.9641719,ce-sds (reduced) purity
CE_SDS_2,CE-SDS (NR) Relative rentention time of minor peak>=LOQ 3,0,0.99957865,2,0.99999213,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (NR) Relative rentention time of minor peak>=LOQ 1,0,0.99958366,2,0.99999213,ce-sds (non-reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Sum of Minor Peaks>=LOQ,0,0.9996024,2,0.9999994,ce-sds (non-reduced) purity
CE_SDS_2,CE-SDS (Reduced) Sum of minor peaks>LOQ,0,0.99960405,2,0.990842,ce-sds (non-reduced) purity
SDS_PAGE,SDS PAGE_3 Reduced Area of Non-Main Band,0,0.9996056,4,0.9999957,sds-page (non-reduced) purity
PARTICULATE_MATTER,Particulate matter >= 3 Microns,3,0.9983546,2,0.6822467,particulate-matter >= 25-um
PARTICULATE_MATTER,Particulate matter >= 5 Microns,3,0.9983525,2,0.6822467,particulate-matter >= 25-um
PARTICULATE_MATTER,Particulate matter >= 2 Microns,3,0.9983463,2,0.6822467,particulate-matter >= 25-um
PARTICULATE_MATTER,Particulate Matter >= 25 um,3,0.9983601,2,0.9519228,particulate-matter >= 25-um
PARTICULATE_MATTER,Particulate matter >= 25 Microns,3,0.9983518,2,0.6822467,particulate-matter >= 25-um
PARTICULATE_MATTER,Particulate Matter >= 10 um,3,0.99835664,2,0.9519228,particulate-matter >= 25-um
PARTICULATE_MATTER,Particulate matter >= 10 Microns,3,0.9983516,2,0.6822467,particulate-matter >= 25-um
SDS_PAGE,SDS-PAGE (NR) minor band 2 MW=164,0,0.99959344,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Purity of Minor  Band 2,0,0.99960655,4,0.99997365,sds-page (non-reduced) purity
CE_SDS,CE-SDS (Non-Reduced) Minor Peak3 (>=LOQ),0,0.9996031,2,0.99887997,ce-sds (non-reduced) purity
RP_UPLC,RP-UPLC Purity Total % Other Peaks >= LOQ,2,0.9994646,1,0.9994184,rp-hplc purity
CE_SDS,CE-SDS (Reduced) Minor Peak >= QL 4,0,0.99960035,1,0.99398524,ce-sds (non-reduced) hhl
CE_SDS,CE-SDS (Non-Reduced) Main Peaks,0,0.99960035,2,0.70786357,ce-sds (non-reduced) purity
SDS_PAGE,SDS-PAGE  (Reduced) Purity Of Heavy Chain,0,0.99960107,5,0.9993418,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE (Red) Purity of Light Chain relative to Ref Std,0,0.99959606,5,0.9999192,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW =177,0,0.9995933,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE  (Reduced) Purity Of Light  Chain,0,0.99960226,5,0.9988317,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE (Reduced) Purity of Heavy And Light Chain,0,0.99960047,5,0.9998956,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE (Red) Purity Of Heavy Chain relative to Ref Std,0,0.9995988,5,0.9999579,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 3 MW = 140,0,0.9995864,4,0.9997539,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Red) purity of Major Band relative to  Ref Std,0,0.99960595,4,0.9999883,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Purity Of Minor Band 1,0,0.99960536,4,0.99996006,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Purity  Of Minor Band 2,0,0.99960655,4,0.99996006,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Purity Of Minor Band 3,0,0.99960583,4,0.99996006,sds-page (non-reduced) purity
SDS_PAGE,SDS-PAGE (Non-Reduced) Purity All Minor bands,0,0.9996062,4,0.9998797,sds-page (non-reduced) purity
PARTICULATE_MATTER_3,Particles >= 2-5 Microns (Concentrate),3,0.99839824,2,0.7728309,particulate-matter >= 25-um
PARTICULATE_MATTER_3,Particles >= 5-10 Microns (Concentrate),3,0.99839777,2,0.7728309,particulate-matter >= 25-um
CE_SDS,CE-SDS (Reduced) Minor Peak >=LOQ 1,0,0.9995976,3,0.7140792,ce-sds (reduced) purity
CE_SDS,CE-SDS (Reduced) Minor Peak >=LOQ 2,0,0.9995974,3,0.7140792,ce-sds (reduced) purity
SDS_PAGE,SDS PAGE (Reduced)_2 [Results] [Nu-Page Reduced Molecular We,0,0.9995962,5,0.70096856,sds-page (reduced) purity
SDS_PAGE,SDS-PAGE  (NR) minor band 1 MW = 186,0,0.99959034,4,0.9997539,sds-page (non-reduced) purity
BIO_ICIEF,iCIEF Main Peaks Area,1,0.999734,6,0.98198754,icief main peak
BIO_SE-HPLC,SE HPLC Low Molecular Weight  Species,2,0.9995103,3,0.9766154,se-hplc lmw
BIO_SE-HPLC,SE HPLC High Molecular Weight  Species,2,0.99951065,2,0.9733848,se-hplc hmw
CE_SDS,CGE (Reduced) Unknown Minor Peak >= QL 2,0,0.9995617,1,0.91742355,ce-sds (non-reduced) hhl
